MPN,Supplier,Supplier PN,Description,Package,Refs,Qty/Board,Boards,Order Qty,Unit Price,Ext Price,Notes
ESP32-S3-WROOM-1U-N16R8,digikey,1965-ESP32-S3-WROOM-1U-N16R8CT-ND,ESP32-S3-WROOM-1U-N16R8,ESP32-S3-WROOM-1U,U3,1,5,5,6.76,33.80,
PREC040SAAN-RC,digikey,S1012EC-40-ND,OLED SPI,PinHeader_1x07_P2.54mm_Vertical,J4-J10 JP1 JP2,9,5,45,0.413,18.59,
DM3AT-SF-PEJM5,digikey,HR1964CT-ND,microSD,HRS_DM3AT-SF-PEJM5,J3,1,5,5,2.85,14.25,
MCP23S17-E/SP,digikey,MCP23S17-E/SP-ND,MCP23S17,DIP-28_W7.62mm,U5,1,5,5,1.78,8.90,
LD1117V33,digikey,497-1491-5-ND,LD1117V33,TO-220-3_Vertical,U4,1,5,5,1.27,6.35,
SR305E105ZARTR1,digikey,478-SR305E105ZARTR1CT-ND,1uF,C_Disc_D5.1mm_W3.2mm_P5.00mm,C6,1,5,5,1.24,6.20,
50YXJ10M5X11,digikey,1189-2322-ND,10uF,CP_Radial_D5.0mm_P2.00mm,C2-C4 C8,4,5,20,0.185,3.70,
1N5822-TP,digikey,1N5822-TPMSCT-ND,1N5822,D_DO-201AD_P12.70mm_Horizontal,D1,1,5,5,0.61,3.05,
RD20B104K500A5HAND,mouser,791-RD20104K500A5HAN,100nF,C_Disc_D5.1mm_W3.2mm_P5.00mm,C5 C7 C9 C11,4,5,20,0.128,2.56,
4604X-101-272LF,mouser,652-4604X-1LF-2.7K,2.7k,R_Array_SIP4,RN2,1,5,5,0.42,2.10,
4609X-101-473LF,digikey,4609X-101-473LF-ND,47k,4609X101473LF,RN1,1,5,5,0.37,1.85,
ESE227M025AG3AA,digikey,399-ESE227M025AG3AA-ND,220uF,CP_Radial_D8.0mm_P3.50mm,C1,1,5,5,0.33,1.65,
C315C103K5R5TA,digikey,399-4148-ND,10nF,C_Disc_D5.0mm_W2.5mm_P2.50mm,C10,1,5,5,0.3,1.50,
MFR-25FRF52-10K,digikey,13-MFR-25FRF52-10KCT-ND,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R2-R4,3,5,15,0.042,0.63,
SN74LVC1G04DCKR,digikey,296-11600-1-ND,SN74LVC1G04,SOT65P210X110-5N,IC1,1,5,5,0.12,0.60,
MFR-25FTE52-2K2,digikey,13-MFR-25FTE52-2K2CT-ND,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R7,1,5,5,0.1,0.50,"break @10: $0.42 total, saves $0.08"
MFR-25FTE52-470R,digikey,13-MFR-25FTE52-470RCT-ND,470,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R8,1,5,5,0.1,0.50,"break @10: $0.42 total, saves $0.08"
RNMF14FTC330R,digikey,S330CACT-ND,330,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R1,1,5,5,0.1,0.50,"break @10: $0.44 total, saves $0.06"
1N4148,stock,,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,D2 D3,2,5,0,0,0.00,"own stock (600 on hand, bin S214-D) - do not order"
